run_at_pacific,post_id,account,series,ref,media_id,status,detail
2026-09-21T11:06:33.181800-07:00,bs-05-p3-en,ig:ramonhouses,Blog Series EN,Blog 05 Part 3,,error,"HTTP 400: {""error"":{""message"":""Media ID is not available"",""type"":""OAuthException"",""code"":9007,""error_subcode"":2207027,""is_transient"":false,""error_user_title"":""Cannot Publish"",""error_user_msg"":""The media is not ready for publishing, please wait for a moment"",""fbtrace_id"":""Aw-KuZu6q2NchWfXk3vz3Jd""}}"
2026-09-21T11:06:33.181800-07:00,bs-05-p3-en,fb:414239392030697,Blog Series EN,Blog 05 Part 3,414239392030697_122228319908048227,ok,
2026-09-21T11:06:33.181800-07:00,reel-es-w03a,ig:ramonhouses,Reel ES,w03a,18144097198572437,ok,
2026-09-21T11:06:33.181800-07:00,reel-es-w03a,fb:414239392030697,Reel ES,w03a,28341611955489608,ok,
2026-09-21T11:06:33.181800-07:00,re-es-day-05,ig:ramonhouses,RE Single ES,Day 05,18115114585800935,ok,
2026-09-21T11:06:33.181800-07:00,re-es-day-05,fb:414239392030697,RE Single ES,Day 05,414239392030697_122228320202048227,ok,
2026-09-21T11:06:33.181800-07:00,r2b-day-020,ig:growthwealth,Round 2b,Day 020,18133725823658763,ok,
2026-09-21T11:06:33.181800-07:00,r2b-day-020,fb:543998318793132,Round 2b,Day 020,543998318793132_122180591042716289,ok,
2026-09-21T11:06:33.181800-07:00,r2-day-021,ig:growthwealth,Round 2,Day 021,18121173491476047,ok,
2026-09-21T11:06:33.181800-07:00,r2-day-021,fb:543998318793132,Round 2,Day 021,543998318793132_122180591168716289,ok,
2026-09-21T11:06:33.181800-07:00,r2b-day-021,ig:growthwealth,Round 2b,Day 021,17984387286083159,ok,
2026-09-21T11:06:33.181800-07:00,r2b-day-021,fb:543998318793132,Round 2b,Day 021,543998318793132_122180591342716289,ok,
2026-09-21T11:10:19.849279-07:00,bs-05-p3-en,ig:ramonhouses,Blog Series EN,Blog 05 Part 3,18132570772735717,ok,
2026-09-21T12:18:01.024707-07:00,rq-05-es,ig:ramonhouses,RE Quote ES,Card 05,18117327772800728,ok,
2026-09-21T12:18:01.024707-07:00,rq-05-es,fb:414239392030697,RE Quote ES,Card 05,414239392030697_122228326598048227,ok,
2026-09-21T12:18:01.024707-07:00,rq-05-es,li:person,RE Quote ES,Card 05,urn:li:share:7507880916745216001,ok,
